"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight","estDomSpAge","county"
"12",22930245010497,2008,0,47,46,"Other western hardwoods","Oak","Private and Native American",40,1143.0529232145,89,NA,48.125,NA,"yuba"
"13",22953073010497,2007,0,10,47,"Douglas-fir","Other western hardwoods","Forest Service",10,11800.3692574528,71,128.5,146.3,163.109274756791,"yuba"
"14",22953282010497,2007,0,47,20,"Other western hardwoods","Incense-cedar","State and local government",30,6272.49022112035,79,NA,62.6666666666667,NA,"yuba"
"20",29880561010497,2009,0,11,47,"Ponderosa and Jeffrey pines","Other western hardwoods","Forest Service",10,10514.3712549469,169,41.5,110.083333333333,23.8104158924209,"yuba"
"21",29880566010497,2009,0,47,10,"Other western hardwoods","Douglas-fir","Forest Service",10,14021.5983516471,65,NA,27.3333333333333,NA,"yuba"
"22",30763210020004,2012,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Private and Native American",40,2092.37314415828,83,70,101,64.1208682283291,"yuba"
"23",30763371020004,2012,0,47,46,"Other western hardwoods","Oak","Private and Native American",40,7180.03157726003,48,NA,72.7058823529412,NA,"yuba"
"24",40224625010497,2010,0,46,NA,"Oak",NA,"Private and Native American",40,197.126163924732,112,NA,36.3333333333333,10.1740730178179,"yuba"
"25",40224627010497,2010,0,47,11,"Other western hardwoods","Ponderosa and Jeffrey pines","Forest Service",10,3573.5054536428,158,NA,54.5714285714286,NA,"yuba"
"26",40224628010497,2010,0,10,11,"Douglas-fir","Ponderosa and Jeffrey pines","Forest Service",10,14804.4053573056,86,85.6666666666667,135.235294117647,98.9323360930946,"yuba"
"27",40224634010497,2010,0,12,10,"True fir","Douglas-fir","Private and Native American",40,8483.70259572859,69,NA,139.857142857143,NA,"yuba"
"28",44541721020004,2013,0,10,20,"Douglas-fir","Incense-cedar","Forest Service",10,7342.91975015674,83,91,131.5,98.5239058032928,"yuba"
"29",48202884010497,2011,0,47,10,"Other western hardwoods","Douglas-fir","Private and Native American",40,11615.266170385,79,NA,70,NA,"yuba"
"30",48204820010497,2011,0,47,10,"Other western hardwoods","Douglas-fir","Private and Native American",40,2578.43783942532,88,NA,74.6,NA,"yuba"
"31",216959297020004,2014,0,10,47,"Douglas-fir","Other western hardwoods","Forest Service",10,6842.72983964576,108,91,116.2,55.7558319120706,"yuba"
"32",216960528020004,2014,0,46,24,"Oak","Other western softwoods","Private and Native American",40,634.800120904404,104,NA,34.5,10.3572029790316,"yuba"
"33",273641249489998,2015,0,10,20,"Douglas-fir","Incense-cedar","Private and Native American",40,3800.32721882398,91,65,131.666666666667,86.9439305360378,"yuba"
"34",345935318489998,2016,0,46,24,"Oak","Other western softwoods","State and local government",30,868.846421551538,90,NA,38.5714285714286,13.8755818294057,"yuba"
"35",345935734489998,2016,0,47,10,"Other western hardwoods","Douglas-fir","Forest Service",10,6533.03148913234,75,NA,18.25,NA,"yuba"
"36",412219899489998,2017,0,46,24,"Oak","Other western softwoods","Private and Native American",40,1457.32109807279,143,NA,39.9333333333333,8.83980653691953,"yuba"
"37",412221255489998,2017,0,47,20,"Other western hardwoods","Incense-cedar","State and local government",30,802.012719624206,113,31.5,49.6,NA,"yuba"
"38",412222401489998,2017,0,10,47,"Douglas-fir","Other western hardwoods","Forest Service",10,12075.3206282283,71,148,152.9,193.952459610817,"yuba"
"39",484816605489998,2018,0,46,NA,"Oak",NA,"Private and Native American",40,1465.55869826936,81,NA,46.6,20.3670757788848,"yuba"
"40",484816606489998,2018,0,47,20,"Other western hardwoods","Incense-cedar","Private and Native American",40,2260.97605819022,74,NA,47.8181818181818,NA,"yuba"
